A/U,toote tyyp,laius,kõrgus,tk tyyptellimusel,käsi,raam,,,klaasi/KLP mõõt,,,,lengi detailid,,,,,,raami detailid,,,,,,klaasiliistud,,,
,,,,,,L,H,tk,L,H,tk,konfig.,ÜH,tk,AH,tk,VERT,tk,ÜH,tk,AH,tk,VERT,tk,HOR,tk,VERT,tk
A,40STAND60x63,900,900,3,P,814,804,3,714,704,,P44-14,,,,,,,,,,,,,,,,
,,L,K,tk,,L-86,K-96,tk,L-86-100,K-96-100,tk,konfig.,L,tk,L-100,tk,K-50,tkx2,L-86,tk,L-86,tk,K-96-96,tkx2,L-86-100+4,tkx2,K-96-100+4,tkx2
A,40STAND60x63,800,1050,20,V,714,954,20,614,854,,P44-14,,,,,,,,,,,,,,,,
,,L,K,tk,,L-86,K-96,tk,L-86-100,K-96-100,tk,konfig.,L,tk,L-100,tk,K-50,tkx2,L-86,tk,L-86,tk,K-96-96,tkx2,L-86-100+4,tkx2,K-96-100+4,tkx2
TA,77STAND60x70,1250,956,10,P,585,860,20,485,760,,P44-14,,,,,,,,,,,,,,,,
,,L,K,tk,,(L-80)/2,K-96,tkx2,((L-80)/2)-100,K-96-100,tkx2,konfig.,L,tk,L-100,tk,K-50,tkx2,(L-80)/2,tkx2,(L-80)/2,tkx2,K-96-96,tkx4,((L-80)/2)-100+4,tkx4,K-96-100+4,tkx4
TA,77STAND60x70,1100,1729,1,V,510,1633,2,410,1533,,P44-14,,,,,,,,,,,,,,,,
,,L,K,tk,,(L-80)/2,K-96,tkx2,((L-80)/2)-100,K-96-100,tkx2,konfig.,L,tk,L-100,tk,K-50,tkx2,(L-80)/2,tkx2,(L-80)/2,tkx2,K-96-96,tkx4,((L-80)/2)-100+4,tkx4,K-96-100+4,tkx4
TA,77STAND60x70,1340,1050,4,P,630,954,8,530,854,,P44-14,,,,,,,,,,,,,,,,
,,L,K,tk,,(L-80)/2,K-96,tkx2,((L-80)/2)-100,K-96-100,tkx2,konfig.,L,tk,L-100,tk,K-50,tkx2,(L-80)/2,tkx2,(L-80)/2,tkx2,K-96-96,tkx4,((L-80)/2)-100+4,tkx4,K-96-100+4,tkx4
A,77STAND60x70,725,956,10,P,639,860,10,539,760,,P44-14,,,,,,,,,,,,,,,,
,,L,K,tk,,L-86,K-96,tk,L-86-100,K-96-100,tk,konfig.,L,tk,L-100,tk,K-50,tkx2,L-86,tk,L-86,tk,K-96-96,tkx2,L-86-100+4,tkx2,K-96-100+4,tkx2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA- topeltaken,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A- aken,,,,,,,,,,,,,,,,,,,,,,,,,,,,
